epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.53,1.28379,3.29226,0.0295,0.72257,0.5462,0.56802,0.31364,1.48573,1.17784,0.04687,0.000554456,0.000554456,0.000554456
2,393.646,1.47971,1.58545,0.03468,0.62994,0.58685,0.55292,0.32268,1.51465,1.15539,0.04841,0.00108814,0.00108814,0.00108814
3,576.987,1.49857,1.48725,0.03497,0.81964,0.57089,0.63132,0.37834,1.54916,1.18606,0.05004,0.00159982,0.00159982,0.00159982
4,758.179,1.44795,1.41019,0.03327,0.77084,0.64284,0.64199,0.3478,1.59812,1.04214,0.05294,0.00156798,0.00156798,0.00156798
5,940.317,1.38662,1.31816,0.03179,0.67289,0.63749,0.60411,0.37589,1.30785,0.98037,0.04061,0.00153497,0.00153497,0.00153497
6,1120.8,1.34957,1.30586,0.03065,0.88516,0.66975,0.70906,0.44693,1.29497,0.83914,0.03911,0.00150197,0.00150197,0.00150197
7,1300.46,1.32341,1.23562,0.02985,0.87014,0.69032,0.71032,0.4584,1.16839,0.75803,0.03525,0.00146896,0.00146896,0.00146896
8,1479.26,1.27553,1.2218,0.02867,0.89334,0.68199,0.71217,0.48145,1.1728,0.7347,0.03514,0.00143595,0.00143595,0.00143595
9,1658.55,1.24521,1.19496,0.02798,0.90531,0.66904,0.71779,0.4651,1.1852,0.72929,0.03646,0.00140295,0.00140295,0.00140295
10,1836.83,1.23364,1.12665,0.02756,0.82443,0.67512,0.70842,0.49061,1.11427,0.76047,0.03288,0.00136994,0.00136994,0.00136994
11,2015.62,1.21503,1.14245,0.02712,0.89,0.68047,0.71854,0.50013,1.10673,0.7005,0.03269,0.00133693,0.00133693,0.00133693
12,2194.9,1.19823,1.12009,0.02654,0.87952,0.68911,0.73239,0.50763,1.12369,0.67116,0.03307,0.00130393,0.00130393,0.00130393
13,2373.9,1.1857,1.11984,0.02624,0.899,0.6732,0.71232,0.49168,1.11369,0.67153,0.03259,0.00127092,0.00127092,0.00127092
14,2553.28,1.16763,1.09666,0.02591,0.93027,0.69875,0.75451,0.52596,1.02704,0.65616,0.03012,0.00123791,0.00123791,0.00123791
15,2733.81,1.14591,1.07593,0.02524,0.91032,0.68653,0.74427,0.50775,1.06816,0.69022,0.03118,0.00120491,0.00120491,0.00120491
16,2912.55,1.14598,1.05177,0.02534,0.91802,0.68629,0.74879,0.52326,1.10445,0.64844,0.03286,0.0011719,0.0011719,0.0011719
17,3090.69,1.12365,1.01205,0.02473,0.89718,0.68218,0.73058,0.52126,1.00099,0.65454,0.0287,0.00113889,0.00113889,0.00113889
18,3269.54,1.12317,1.01782,0.02463,0.94178,0.70165,0.75182,0.53999,1.01101,0.63833,0.02961,0.00110589,0.00110589,0.00110589
19,3448.21,1.10056,1.02486,0.02408,0.93235,0.69342,0.75606,0.54099,0.97996,0.65055,0.0282,0.00107288,0.00107288,0.00107288
20,3630.94,1.08457,0.98598,0.02371,0.94544,0.68647,0.75432,0.52948,0.97798,0.64233,0.02842,0.00103987,0.00103987,0.00103987
21,3816.12,1.07296,0.98088,0.02338,0.91018,0.70434,0.74964,0.5428,0.96076,0.65621,0.0274,0.00100687,0.00100687,0.00100687
22,4000.46,1.06629,0.99701,0.02329,0.88019,0.6814,0.72637,0.52634,0.95819,0.63638,0.02752,0.000973861,0.000973861,0.000973861
23,4181.87,1.05752,0.99294,0.02294,0.94616,0.69377,0.76339,0.55535,0.96433,0.60189,0.02757,0.000940855,0.000940855,0.000940855
24,4363.91,1.04632,0.94957,0.02278,0.93527,0.69777,0.75483,0.55192,0.96068,0.62819,0.02754,0.000907848,0.000907848,0.000907848
25,4546.69,1.02754,0.92848,0.02205,0.94218,0.69511,0.75953,0.55893,0.93767,0.62166,0.02664,0.000874842,0.000874842,0.000874842
26,4728.53,1.02954,0.93361,0.02227,0.92474,0.68663,0.75122,0.55464,0.91198,0.61284,0.02594,0.000841835,0.000841835,0.000841835
27,4910.53,1.01695,0.91178,0.02212,0.94202,0.69465,0.75803,0.56155,0.95098,0.61022,0.02703,0.000808828,0.000808828,0.000808828
28,5094.96,1.00057,0.91911,0.02161,0.9507,0.69876,0.76239,0.5551,0.93583,0.59581,0.0266,0.000775822,0.000775822,0.000775822
29,5277.86,0.99112,0.89122,0.02136,0.94363,0.70018,0.76275,0.5607,0.8994,0.58085,0.02552,0.000742815,0.000742815,0.000742815
30,5458.03,0.98241,0.8741,0.02122,0.92337,0.69691,0.74931,0.5496,0.90753,0.60358,0.02581,0.000709809,0.000709809,0.000709809
31,5637.99,0.97548,0.88215,0.02099,0.94348,0.69759,0.75246,0.57228,0.86731,0.58107,0.02449,0.000676802,0.000676802,0.000676802
32,5818.3,0.9655,0.87394,0.02084,0.95443,0.69885,0.77682,0.56959,0.90137,0.57216,0.02584,0.000643795,0.000643795,0.000643795
33,5998.07,0.94735,0.83994,0.02041,0.9397,0.69753,0.75472,0.56431,0.87125,0.58576,0.02457,0.000610789,0.000610789,0.000610789
34,6181.63,0.94625,0.83441,0.02028,0.95641,0.70265,0.7732,0.56612,0.88406,0.54427,0.02504,0.000577782,0.000577782,0.000577782
35,6364.32,0.92726,0.83391,0.01993,0.94952,0.70527,0.78079,0.57491,0.86268,0.56386,0.02431,0.000544776,0.000544776,0.000544776
36,6545.74,0.91846,0.82119,0.01969,0.95017,0.7095,0.77519,0.58434,0.85943,0.56762,0.02417,0.000511769,0.000511769,0.000511769
37,6726.17,0.91404,0.82319,0.01943,0.93993,0.71077,0.76649,0.57524,0.86739,0.56254,0.02435,0.000478762,0.000478762,0.000478762
38,6906.55,0.91086,0.80824,0.01952,0.94919,0.6981,0.76673,0.57534,0.86654,0.5539,0.02481,0.000445756,0.000445756,0.000445756
39,7088.25,0.89552,0.80062,0.01914,0.94122,0.70636,0.78117,0.59163,0.83328,0.58316,0.02345,0.000412749,0.000412749,0.000412749
40,7269.54,0.89625,0.78196,0.019,0.94835,0.71697,0.78627,0.59033,0.85141,0.55183,0.02389,0.000379743,0.000379743,0.000379743
41,7447.94,0.8494,0.56717,0.026,0.94823,0.68912,0.78468,0.58681,0.8526,0.54729,0.02393,0.000346736,0.000346736,0.000346736
42,7626.1,0.80743,0.53279,0.02449,0.94393,0.701,0.77795,0.59465,0.83012,0.53877,0.02322,0.000313729,0.000313729,0.000313729
43,7805.07,0.78834,0.50865,0.02351,0.94792,0.70397,0.78684,0.59742,0.82715,0.54678,0.02292,0.000280723,0.000280723,0.000280723
44,7980.22,0.78198,0.50362,0.02359,0.93968,0.70565,0.77792,0.59346,0.83193,0.54255,0.02318,0.000247716,0.000247716,0.000247716
45,8157.05,0.76357,0.4888,0.02288,0.95227,0.69518,0.77938,0.59332,0.82765,0.55882,0.02312,0.00021471,0.00021471,0.00021471
46,8333.66,0.74601,0.4835,0.0221,0.94613,0.69665,0.78341,0.59013,0.82662,0.54918,0.02303,0.000181703,0.000181703,0.000181703
47,8511.37,0.73928,0.46611,0.02191,0.94411,0.70463,0.79194,0.59337,0.82363,0.5609,0.02307,0.000148696,0.000148696,0.000148696
48,8687.6,0.72889,0.46472,0.02141,0.9491,0.70943,0.7901,0.59613,0.81899,0.54481,0.02272,0.00011569,0.00011569,0.00011569
49,8864,0.71145,0.45773,0.02102,0.94616,0.70123,0.79318,0.6011,0.81979,0.55063,0.02267,8.26832e-05,8.26832e-05,8.26832e-05
50,9040.38,0.70081,0.4467,0.02063,0.94639,0.70621,0.79407,0.59977,0.81625,0.55097,0.02257,4.96766e-05,4.96766e-05,4.96766e-05
